time,temperature_2m,relativehumidity_2m,rain,soil_temperature_0_to_7cm,soil_moisture
2023-01-01 00:00:00,20.91,44.51,2.39,24.19,53.9
2023-01-01 01:00:00,22.18,44.38,2.79,24.09,54.92
2023-01-01 02:00:00,22.51,61.16,2.08,22.88,54.11
2023-01-01 03:00:00,21.16,40.41,2.95,23.2,54.71
2023-01-01 04:00:00,23.52,68.45,2.69,23.36,54.38
2023-01-01 05:00:00,21.4,43.85,2.77,23.78,54.84
2023-01-01 06:00:00,22.59,69.24,2.07,23.21,54.4
2023-01-01 07:00:00,24.21,55.56,2.89,24.42,53.12
2023-01-01 08:00:00,21.63,36.97,2.5,24.92,54.36
2023-01-01 09:00:00,23.31,65.57,2.46,22.91,54.72
2023-01-01 10:00:00,22.34,51.97,2.47,24.64,54.46
2023-01-01 11:00:00,20.87,35.1,2.31,22.29,54.71
2023-01-01 12:00:00,24.03,62.5,2.14,24.33,54.62
2023-01-01 13:00:00,20.44,47.63,3.0,24.68,54.19
2023-01-01 14:00:00,21.22,38.09,2.95,24.61,53.16
2023-01-01 15:00:00,21.85,65.44,2.69,22.61,54.24
2023-01-01 16:00:00,21.6,55.66,2.42,22.03,53.47
2023-01-01 17:00:00,24.2,32.57,2.95,24.86,53.26
2023-01-01 18:00:00,22.73,51.71,2.9,24.63,53.8
2023-01-01 19:00:00,21.37,68.87,2.18,24.48,54.27
2023-01-01 20:00:00,21.05,67.26,2.24,22.36,53.18
2023-01-01 21:00:00,24.37,39.4,2.34,22.06,53.55
2023-01-01 22:00:00,24.02,45.32,2.09,22.43,54.92
2023-01-01 23:00:00,21.51,60.86,2.8,22.04,53.54
2023-01-02 00:00:00,22.11,69.87,2.01,24.35,53.03
2023-01-02 01:00:00,20.44,43.65,2.36,22.62,54.98
2023-01-02 02:00:00,21.45,44.21,2.64,24.7,54.57
2023-01-02 03:00:00,22.5,36.78,2.54,22.5,53.36
2023-01-02 04:00:00,20.88,40.51,2.46,22.53,53.23
2023-01-02 05:00:00,22.63,37.93,2.53,24.5,53.05
2023-01-02 06:00:00,21.74,48.83,2.12,23.07,53.25
2023-01-02 07:00:00,24.83,42.63,2.29,22.83,54.81
2023-01-02 08:00:00,24.95,47.18,2.05,23.27,54.71
2023-01-02 09:00:00,21.03,52.16,2.22,24.54,54.99
2023-01-02 10:00:00,24.96,33.33,2.3,24.99,54.43
2023-01-02 11:00:00,23.13,62.24,2.04,24.01,53.85
2023-01-02 12:00:00,20.97,41.61,2.57,22.09,54.47
2023-01-02 13:00:00,24.49,52.41,2.74,24.74,54.53
2023-01-02 14:00:00,21.25,64.49,2.58,22.11,54.74
2023-01-02 15:00:00,24.68,38.33,2.98,22.21,53.21
2023-01-02 16:00:00,20.47,48.43,2.75,24.92,53.99
2023-01-02 17:00:00,20.5,39.9,2.55,23.08,54.51
2023-01-02 18:00:00,22.98,51.93,2.5,23.31,54.79
2023-01-02 19:00:00,20.23,53.13,2.6,24.73,54.32
2023-01-02 20:00:00,21.31,53.41,2.55,22.24,53.43
2023-01-02 21:00:00,24.74,32.43,2.76,23.35,54.59
2023-01-02 22:00:00,23.72,68.51,2.49,24.84,53.74
2023-01-02 23:00:00,24.9,35.96,2.26,24.46,53.94
2023-01-03 00:00:00,22.89,33.17,2.95,23.06,53.54
2023-01-03 01:00:00,23.32,65.2,2.53,23.04,53.39
2023-01-03 02:00:00,20.38,60.27,2.79,22.87,54.4
2023-01-03 03:00:00,21.98,60.72,2.26,24.91,53.31
2023-01-03 04:00:00,23.26,48.32,2.54,24.07,54.22
2023-01-03 05:00:00,22.0,44.43,2.59,24.66,54.56
2023-01-03 06:00:00,23.38,46.05,2.8,25.0,54.7
2023-01-03 07:00:00,21.7,34.59,2.63,22.39,54.69
2023-01-03 08:00:00,24.35,44.96,2.36,23.71,53.73
2023-01-03 09:00:00,24.22,53.3,2.96,23.82,53.01
2023-01-03 10:00:00,23.82,60.15,2.87,24.71,53.61
2023-01-03 11:00:00,24.71,59.93,3.0,23.9,53.61
2023-01-03 12:00:00,22.98,68.25,2.65,22.17,54.44
2023-01-03 13:00:00,22.47,57.69,2.39,23.36,53.31
2023-01-03 14:00:00,21.02,30.07,3.0,24.76,53.25
2023-01-03 15:00:00,24.52,58.91,2.41,22.06,54.62
2023-01-03 16:00:00,23.22,57.14,2.49,22.87,53.18
2023-01-03 17:00:00,23.95,33.55,2.13,24.61,53.84
2023-01-03 18:00:00,20.86,40.14,2.01,23.67,53.55
2023-01-03 19:00:00,23.95,35.66,2.2,22.29,54.5
2023-01-03 20:00:00,20.93,64.62,2.44,24.23,54.13
2023-01-03 21:00:00,22.97,56.12,2.83,24.78,54.54
2023-01-03 22:00:00,22.91,38.36,2.94,24.92,54.53
2023-01-03 23:00:00,20.09,69.06,2.75,22.61,53.05
2023-01-04 00:00:00,22.75,59.03,2.28,22.04,54.16
2023-01-04 01:00:00,22.97,51.39,2.3,22.65,54.33
2023-01-04 02:00:00,21.17,47.07,2.13,22.36,53.24
2023-01-04 03:00:00,24.79,64.1,2.36,23.07,53.63
2023-01-04 04:00:00,22.87,49.77,2.27,24.79,53.99
2023-01-04 05:00:00,23.97,50.97,2.34,23.66,54.8
2023-01-04 06:00:00,22.82,36.82,2.92,23.12,53.66
2023-01-04 07:00:00,20.83,65.21,2.67,23.14,54.57
2023-01-04 08:00:00,23.03,60.56,2.05,24.17,54.66
2023-01-04 09:00:00,20.6,40.53,2.57,23.43,53.21
2023-01-04 10:00:00,20.17,65.36,2.76,23.83,54.73
2023-01-04 11:00:00,23.2,61.8,2.68,22.33,54.91
2023-01-04 12:00:00,24.25,44.62,2.22,23.1,53.52
2023-01-04 13:00:00,21.63,53.1,2.91,22.53,54.81
2023-01-04 14:00:00,23.08,40.68,2.74,22.5,54.23
2023-01-04 15:00:00,21.58,37.7,2.64,23.13,53.4
2023-01-04 16:00:00,24.39,30.38,2.7,22.74,53.29
2023-01-04 17:00:00,24.9,65.97,2.01,22.2,53.53
2023-01-04 18:00:00,24.56,51.92,2.19,24.82,54.63
2023-01-04 19:00:00,22.74,32.4,2.84,23.76,54.74
2023-01-04 20:00:00,21.71,37.59,2.83,24.43,54.59
2023-01-04 21:00:00,21.83,62.21,2.81,24.26,53.9
2023-01-04 22:00:00,20.43,62.16,2.81,24.7,55.0
2023-01-04 23:00:00,21.04,52.93,2.97,23.81,53.03
2023-01-05 00:00:00,21.21,45.33,2.81,23.64,53.14
2023-01-05 01:00:00,21.13,42.8,2.37,24.13,53.7
2023-01-05 02:00:00,20.88,32.41,2.96,23.89,54.03
2023-01-05 03:00:00,23.65,64.53,2.75,23.32,54.88
2023-01-05 04:00:00,22.59,68.22,2.11,23.94,53.25
2023-01-05 05:00:00,25.0,63.91,2.62,24.77,53.13
2023-01-05 06:00:00,20.93,68.82,2.77,22.7,54.0
2023-01-05 07:00:00,20.03,48.2,2.55,22.38,54.84
2023-01-05 08:00:00,22.59,46.73,2.34,22.8,53.8
2023-01-05 09:00:00,20.15,69.29,2.81,22.52,53.42
2023-01-05 10:00:00,22.2,32.13,2.84,24.74,53.69
2023-01-05 11:00:00,23.01,44.96,2.86,22.28,53.1
2023-01-05 12:00:00,24.53,68.05,2.77,24.9,53.4
2023-01-05 13:00:00,23.63,44.79,2.62,23.46,54.73
2023-01-05 14:00:00,21.39,38.55,2.58,24.8,54.08
2023-01-05 15:00:00,20.49,30.35,2.68,22.56,54.95
2023-01-05 16:00:00,23.42,56.28,2.07,22.77,54.8
2023-01-05 17:00:00,21.03,69.23,2.65,23.79,54.14
2023-01-05 18:00:00,22.26,62.75,2.11,24.72,53.64
2023-01-05 19:00:00,20.79,32.27,2.85,22.73,54.91
2023-01-05 20:00:00,20.66,54.63,2.26,22.36,53.58
2023-01-05 21:00:00,23.79,48.77,2.9,22.71,54.3
2023-01-05 22:00:00,24.51,53.2,2.78,22.28,54.31
2023-01-05 23:00:00,23.65,68.83,2.24,22.12,54.94
2023-01-06 00:00:00,21.64,32.46,2.24,24.39,53.15
2023-01-06 01:00:00,24.05,50.55,2.84,24.85,54.6
2023-01-06 02:00:00,22.08,54.93,2.7,23.22,54.69
2023-01-06 03:00:00,22.73,55.16,2.98,23.63,54.77
2023-01-06 04:00:00,21.94,38.24,2.39,22.12,54.11
2023-01-06 05:00:00,24.23,68.6,2.78,22.38,54.54
2023-01-06 06:00:00,21.41,56.83,2.22,24.61,54.26
2023-01-06 07:00:00,23.97,53.19,2.03,22.39,53.07
2023-01-06 08:00:00,22.77,47.44,2.11,23.58,54.05
2023-01-06 09:00:00,24.92,55.95,2.51,23.77,53.57
2023-01-06 10:00:00,20.58,42.29,2.97,23.12,54.99
2023-01-06 11:00:00,20.12,66.29,2.79,24.2,53.13
2023-01-06 12:00:00,23.39,68.9,2.42,22.89,53.69
2023-01-06 13:00:00,20.17,37.85,2.02,24.02,53.34
2023-01-06 14:00:00,22.36,62.77,3.0,23.38,53.33
2023-01-06 15:00:00,20.42,34.16,2.63,22.09,53.75
2023-01-06 16:00:00,22.36,36.34,2.96,22.7,53.97
2023-01-06 17:00:00,20.01,65.68,2.62,24.32,53.87
2023-01-06 18:00:00,20.96,42.22,2.62,23.58,54.26
2023-01-06 19:00:00,22.38,65.82,2.94,24.22,54.61
2023-01-06 20:00:00,21.1,44.49,2.62,24.74,53.66
2023-01-06 21:00:00,20.38,63.94,2.83,23.07,54.91
2023-01-06 22:00:00,22.94,52.41,2.97,22.04,53.79
2023-01-06 23:00:00,21.05,61.72,2.2,23.86,53.5
2023-01-07 00:00:00,23.32,64.08,2.7,22.1,54.52
2023-01-07 01:00:00,23.02,32.76,2.38,22.22,53.25
2023-01-07 02:00:00,21.84,35.86,2.93,23.85,54.16
2023-01-07 03:00:00,20.17,53.71,2.5,24.59,53.7
2023-01-07 04:00:00,20.08,46.98,2.06,22.05,53.81
2023-01-07 05:00:00,21.09,54.98,2.13,23.97,53.54
2023-01-07 06:00:00,20.45,54.92,2.77,24.36,53.53
2023-01-07 07:00:00,22.13,50.88,2.6,23.57,53.37
2023-01-07 08:00:00,21.58,51.31,2.02,24.5,53.39
2023-01-07 09:00:00,22.46,43.18,2.8,24.31,54.35
2023-01-07 10:00:00,23.9,65.07,2.4,23.81,53.56
2023-01-07 11:00:00,24.22,68.41,2.12,23.4,53.81
2023-01-07 12:00:00,21.15,69.19,2.46,23.91,53.96
2023-01-07 13:00:00,23.23,30.55,2.39,22.88,53.56
2023-01-07 14:00:00,22.72,38.19,2.67,24.66,53.83
2023-01-07 15:00:00,20.8,53.09,2.55,24.09,54.57
2023-01-07 16:00:00,24.89,51.48,2.89,23.04,54.5
2023-01-07 17:00:00,20.34,62.91,2.68,23.82,54.57
2023-01-07 18:00:00,23.61,46.52,2.32,22.39,53.52
2023-01-07 19:00:00,21.08,36.52,2.68,24.42,53.89
2023-01-07 20:00:00,21.42,66.5,2.28,24.19,53.5
2023-01-07 21:00:00,20.06,47.35,2.41,23.48,54.67
2023-01-07 22:00:00,24.6,38.54,2.89,24.9,53.34
2023-01-07 23:00:00,23.51,51.37,2.05,23.91,53.08
2023-01-08 00:00:00,24.94,62.94,2.86,22.38,53.98
2023-01-08 01:00:00,24.56,50.12,2.53,24.38,53.61
2023-01-08 02:00:00,24.15,33.65,2.87,22.52,54.46
2023-01-08 03:00:00,22.03,39.85,2.1,22.77,53.48
2023-01-08 04:00:00,23.91,54.76,2.95,23.41,53.33
2023-01-08 05:00:00,20.79,56.26,2.24,24.09,53.56
2023-01-08 06:00:00,22.5,58.3,2.48,23.14,53.32
2023-01-08 07:00:00,22.42,55.43,2.72,22.88,53.62
2023-01-08 08:00:00,21.89,62.61,2.17,22.64,54.29
2023-01-08 09:00:00,24.05,54.43,2.37,22.45,53.67
2023-01-08 10:00:00,23.49,58.64,2.03,24.67,54.28
2023-01-08 11:00:00,21.91,57.11,2.12,24.25,54.85
2023-01-08 12:00:00,22.2,55.43,2.03,22.04,53.07
2023-01-08 13:00:00,22.46,38.5,2.06,22.08,54.16
2023-01-08 14:00:00,22.19,32.38,2.55,24.83,54.81
2023-01-08 15:00:00,24.24,58.78,2.53,24.42,54.42
2023-01-08 16:00:00,24.39,53.53,2.53,24.14,53.87
2023-01-08 17:00:00,24.34,45.17,2.28,22.07,53.23
2023-01-08 18:00:00,21.96,32.32,2.55,24.33,54.37
2023-01-08 19:00:00,24.19,57.06,2.04,22.23,53.84
2023-01-08 20:00:00,22.34,53.92,2.31,23.84,54.38
2023-01-08 21:00:00,23.81,45.11,2.86,24.3,53.07
2023-01-08 22:00:00,22.65,63.72,2.69,23.01,53.29
2023-01-08 23:00:00,23.19,50.1,2.22,24.44,54.36
2023-01-09 00:00:00,23.73,42.49,2.64,24.02,53.14
2023-01-09 01:00:00,20.78,31.52,2.66,23.05,53.28
2023-01-09 02:00:00,24.37,56.57,2.94,22.15,53.68
2023-01-09 03:00:00,21.56,56.32,2.15,22.12,54.81
2023-01-09 04:00:00,22.56,31.35,2.36,24.52,54.68
2023-01-09 05:00:00,21.45,57.46,2.3,22.64,54.94
2023-01-09 06:00:00,24.41,37.78,2.07,23.74,53.73
2023-01-09 07:00:00,20.84,37.65,2.74,24.82,54.67
2023-01-09 08:00:00,23.11,67.18,2.85,24.11,54.36
2023-01-09 09:00:00,22.32,55.85,2.64,22.05,54.47
2023-01-09 10:00:00,22.11,40.48,2.08,23.0,54.12
2023-01-09 11:00:00,21.56,67.97,2.45,23.73,54.12
2023-01-09 12:00:00,23.28,41.42,2.15,22.77,54.92
2023-01-09 13:00:00,21.23,50.5,2.26,22.99,53.43
2023-01-09 14:00:00,20.29,42.01,2.44,22.74,54.56
2023-01-09 15:00:00,24.71,43.16,2.97,24.79,53.51
2023-01-09 16:00:00,20.07,65.41,2.91,23.11,53.64
2023-01-09 17:00:00,22.01,58.44,2.23,24.78,54.99
2023-01-09 18:00:00,24.03,51.84,2.52,24.04,54.66
2023-01-09 19:00:00,21.48,60.36,2.26,23.38,53.1
2023-01-09 20:00:00,23.49,59.77,2.79,24.8,54.68
2023-01-09 21:00:00,23.41,35.05,2.9,24.62,54.59
2023-01-09 22:00:00,21.47,55.3,2.78,23.03,53.07
2023-01-09 23:00:00,20.71,44.81,2.32,22.59,53.52
