time,temperature_2m,relativehumidity_2m,rain,soil_temperature_0_to_7cm,soil_moisture
2023-01-01 00:00:00,20.72,48.12,2.9,22.14,54.73
2023-01-01 01:00:00,22.12,56.0,2.67,23.48,54.97
2023-01-01 02:00:00,24.82,52.85,2.88,22.66,53.36
2023-01-01 03:00:00,22.65,61.37,2.21,24.24,53.42
2023-01-01 04:00:00,24.61,44.42,2.52,23.52,54.32
2023-01-01 05:00:00,21.74,64.59,2.03,22.42,53.17
2023-01-01 06:00:00,20.01,44.32,2.46,22.1,53.5
2023-01-01 07:00:00,21.61,33.74,2.85,23.74,53.57
2023-01-01 08:00:00,22.38,45.48,2.02,22.14,53.82
2023-01-01 09:00:00,20.84,46.48,2.99,23.66,53.79
2023-01-01 10:00:00,23.0,58.52,2.37,23.06,53.4
2023-01-01 11:00:00,22.54,59.52,2.6,23.99,54.31
2023-01-01 12:00:00,23.51,40.99,2.11,24.0,54.01
2023-01-01 13:00:00,21.19,37.19,2.21,22.68,53.43
2023-01-01 14:00:00,21.65,41.3,2.7,23.65,53.08
2023-01-01 15:00:00,20.33,52.35,2.92,23.24,53.99
2023-01-01 16:00:00,22.61,64.35,2.18,24.6,53.05
2023-01-01 17:00:00,24.8,68.42,2.44,24.97,53.5
2023-01-01 18:00:00,21.99,32.4,2.55,23.11,53.48
2023-01-01 19:00:00,20.47,40.96,2.47,24.48,53.09
2023-01-01 20:00:00,22.12,59.27,2.35,24.73,53.15
2023-01-01 21:00:00,24.87,43.23,2.21,24.49,53.16
2023-01-01 22:00:00,23.38,35.1,2.21,22.59,53.6
2023-01-01 23:00:00,23.15,54.2,2.39,23.77,53.48
2023-01-02 00:00:00,21.14,38.01,2.85,24.15,53.34
2023-01-02 01:00:00,20.17,43.06,2.7,24.02,54.33
2023-01-02 02:00:00,24.22,66.42,3.0,22.55,53.99
2023-01-02 03:00:00,20.7,62.15,2.96,22.42,54.55
2023-01-02 04:00:00,24.54,47.95,2.55,22.04,54.31
2023-01-02 05:00:00,22.68,63.55,2.61,24.1,54.89
2023-01-02 06:00:00,23.83,57.47,2.96,24.5,53.13
2023-01-02 07:00:00,20.68,54.27,2.98,22.67,53.05
2023-01-02 08:00:00,20.83,56.65,2.42,22.07,53.42
2023-01-02 09:00:00,21.94,43.82,2.08,23.09,53.2
2023-01-02 10:00:00,24.91,55.62,2.8,24.1,54.51
2023-01-02 11:00:00,22.46,37.15,2.06,22.17,53.47
2023-01-02 12:00:00,21.6,57.26,2.26,24.74,53.53
2023-01-02 13:00:00,22.72,47.43,2.3,23.54,54.94
2023-01-02 14:00:00,23.68,55.05,2.17,22.74,53.98
2023-01-02 15:00:00,23.01,39.9,2.87,23.64,54.66
2023-01-02 16:00:00,22.33,49.26,2.31,24.46,54.07
2023-01-02 17:00:00,21.54,56.91,2.18,24.65,53.29
2023-01-02 18:00:00,23.78,46.21,2.43,24.53,54.47
2023-01-02 19:00:00,21.53,37.68,2.22,22.9,53.6
2023-01-02 20:00:00,22.0,67.69,2.3,23.46,53.82
2023-01-02 21:00:00,23.32,61.12,2.97,23.75,53.19
2023-01-02 22:00:00,22.84,57.64,2.84,24.59,54.14
2023-01-02 23:00:00,23.72,34.83,2.65,22.14,54.62
2023-01-03 00:00:00,23.51,57.88,2.03,22.53,53.91
2023-01-03 01:00:00,20.23,69.16,2.61,24.87,53.56
2023-01-03 02:00:00,22.19,55.45,2.84,23.85,53.86
2023-01-03 03:00:00,21.44,38.94,2.85,23.14,53.3
2023-01-03 04:00:00,20.02,44.19,2.73,22.29,54.66
2023-01-03 05:00:00,22.57,59.0,2.09,24.1,54.94
2023-01-03 06:00:00,21.26,48.87,2.86,22.25,53.96
2023-01-03 07:00:00,21.96,60.67,2.77,22.44,54.34
2023-01-03 08:00:00,21.33,30.19,2.1,24.52,54.48
2023-01-03 09:00:00,20.96,57.96,2.97,24.93,53.24
2023-01-03 10:00:00,21.35,51.56,2.55,22.83,53.02
2023-01-03 11:00:00,22.61,54.3,2.16,24.88,54.4
2023-01-03 12:00:00,24.38,55.28,2.31,22.76,54.44
2023-01-03 13:00:00,20.85,68.65,2.54,22.58,54.78
2023-01-03 14:00:00,22.4,58.9,2.02,24.29,53.74
2023-01-03 15:00:00,23.01,48.91,2.49,23.61,54.49
2023-01-03 16:00:00,21.38,52.42,2.67,24.29,53.61
